,user,Clase,degree,betweenness,eigenvector,pagerank,Cws
128,1190413307183869954,1,30.0,39817.64350202019,0.008112641167801688,0.00013580033927778766,0.09425287356321839
130,3421061763,1,129.0,310181.526011749,0.02891093792297631,0.0005531298423680088,0.06674165729283839
131,2381191612,1,5.0,0.0,0.0003249168744712631,2.1542657170155162e-05,0.0
132,176605247,1,31.0,0.0,0.010603112464570017,0.00014599254769836784,0.11182795698924732
133,1253116205788991489,1,1.0,0.0,0.0011570428546602664,8.876812386071428e-06,0.0
134,73102744,1,5362.0,1868.1988002862834,0.34927921413671575,0.03164027188414992,0.0004956570520748125
135,770043118435598337,1,2.0,28.168217102346183,0.0003238609008396425,1.1942089981995162e-05,0.0
136,990727302114930688,1,2.0,396.10816000075124,0.003651081857430341,1.2850554374057235e-05,0.0
137,732703538074226688,1,4.0,40450.47501499137,6.766044265961644e-05,2.374612802998535e-05,0.0
138,180986917,1,17.0,0.0,0.001635929392314195,7.353389291670508e-05,0.007352941176470588
139,26952449,1,6.0,0.0,0.0080639833721515,3.109372179807994e-05,0.3333333333333333
140,1255347170,1,1.0,21.314206552186114,0.0034955611692854627,8.517996580612814e-06,0.0
141,983848121754058752,1,1.0,0.0,0.0012796010460215128,9.966807544339727e-06,0.0
143,1163194886352461824,1,7.0,0.0,0.010083640971031819,3.2615846918037e-05,0.38095238095238093
144,33024510,1,1.0,0.0,0.0025723475943052903,8.468460744069886e-06,0.0
145,367933714,1,3849.0,0.0,0.25702262313851815,0.022553856110754444,0.0008816448800860337
148,146631761,1,7.0,707897.7105609656,0.008015429223212717,3.5811031770235314e-05,0.5714285714285714
149,867223140,1,12.0,183.89202213304358,0.008156156679904903,5.472232430247839e-05,0.22727272727272727
151,441003091,1,4.0,0.0,0.0007250364411881976,1.9239785054925842e-05,0.16666666666666666
153,910956876686381058,1,4.0,6880722.7263024375,0.006204209504414872,2.249972175221093e-05,0.6666666666666666
155,707321641202814978,1,3.0,0.0,0.008891639085428017,1.845336402164946e-05,0.3333333333333333
156,992317206,1,10.0,0.0,0.0028722311679270376,4.6764703765545204e-05,0.15555555555555556
157,71009257,1,7.0,19959.244031148686,0.0008880435986604359,3.284017740758148e-05,0.047619047619047616
158,169360051,1,2.0,0.0,0.00047215616741084473,1.2567129902222141e-05,0.0
159,1349480766749757448,1,1.0,78659.24686203917,0.0025723475943052903,8.468460744069886e-06,0.0
160,539465072,1,6.0,0.0,0.004223048898648287,3.0555527000923276e-05,0.3333333333333333
162,1169225200740831233,1,9.0,19075.097980336348,0.01430338564570509,4.425078743932687e-05,0.2777777777777778
163,179669951,1,5.0,16210.718738459738,0.0002434320418510755,1.9564695212423956e-05,0.0
164,910597284320116738,1,2.0,4770.989853273824,0.001847688400313437,1.3738132510516487e-05,0.0
165,268488742,1,31.0,0.0,0.01639281630468657,0.00013814439035524608,0.13118279569892474
166,4696317872,1,3.0,14528.544291015462,0.005335332188256446,1.7967443848134488e-05,0.3333333333333333
169,1442236609,1,7.0,8127.691848554916,0.01097230030109428,3.629887893849871e-05,0.19047619047619047
170,1954572703,1,1.0,0.0,6.0858808887612117e-05,7.88836662181399e-06,0.0
171,1061643374,1,2.0,14206.05946377115,0.0037869836081512497,1.2743811934194626e-05,0.0
177,1345902409692930048,1,7.0,0.0,0.0008043336795880428,3.512856119572928e-05,0.047619047619047616
178,206371045,1,43.0,0.0,0.017464589729848733,0.00018451641810519185,0.09191583610188261
179,2846083090,1,1.0,0.0,4.764087763093885e-05,1.0453928578447102e-05,0.0
180,1136447223628271622,1,5.0,1935.7387175465954,0.0035545322456436187,3.949479938110206e-05,0.0
181,312855179,1,1.0,0.0,3.610305065273572e-05,1.059789501741556e-05,0.0
182,4160782817,1,126.0,0.0,0.025592894528530263,0.0005509148985053146,0.051534225019669554
183,1354449413414989835,1,6.0,10789.631018176104,0.0006169716219405784,2.6585207995152454e-05,0.0
184,1565605044,1,17.0,14.575446673822253,0.0018535950642580665,7.502188393826147e-05,0.022058823529411766
185,1146448109070966784,1,77.0,8479.868460977606,0.019477794294186175,0.00032320833500504244,0.07450444292549556
186,210152430,1,18.0,2269.033968807136,0.008957754406382155,8.61613767423052e-05,0.17647058823529413
187,332305405,1,23.0,0.0,0.012896680334244445,0.0001010030546888084,0.2490118577075099
188,997060027147055104,1,2.0,35812.30378452584,7.325499637208182e-05,1.2646120554826935e-05,0.0
190,1183974626,1,8.0,5524.843484755801,0.012995589860331554,3.933261163821939e-05,0.5
191,15750760,1,1.0,0.0,0.00011154047392619175,8.339926474838256e-06,0.0
192,882731195834003457,1,1.0,0.0,0.00017886727206299876,7.626178027534203e-06,0.0
193,164350783,1,8.0,3186129.8701358153,0.004351051367969199,3.721425728158868e-05,0.17857142857142858
194,1249892637085237258,1,5.0,272.5359603067167,0.0006399204416415795,2.2519317738564523e-05,0.3
